series,break_year,magnitude,direction,series_count
gdp_growth_pct,1991,-21.099999919369395,down,1
cpi_inflation_pct,1992,1077.9553021010524,up,1
gdp_growth_pct,1994,20.233333576707068,up,1
cpi_inflation_pct,1996,-699.7979710456644,down,2
gdp_growth_pct,1996,17.800000667349238,up,2
industry_va_pct_gdp,1999,7.034681114710104,up,3
nonoil_gdp_share_pct,1999,-9.09376906241286,down,3
oil_gdp_share_pct,1999,7.034681114710104,up,3
cpi_inflation_pct,2003,6.05504567486817,up,1
brent_annual_avg_usd,2004,33.31805555555556,up,5
gdp_growth_pct,2004,19.663315331836078,up,5
industry_va_pct_gdp,2004,14.814412763668699,up,5
nonoil_gdp_share_pct,2004,-13.47246258311268,down,5
oil_gdp_share_pct,2004,14.814412763668699,up,5
cpi_inflation_pct,2006,4.762842641006106,up,1
gdp_growth_pct,2007,-21.04706363649237,down,1
cpi_inflation_pct,2008,-10.278504342665013,down,1
gdp_growth_pct,2009,-13.335127247702529,down,1
brent_annual_avg_usd,2010,31.234722222222217,up,1
industry_va_pct_gdp,2013,-10.756593562425337,down,3
nonoil_gdp_share_pct,2013,8.984068404792481,up,3
oil_gdp_share_pct,2013,-10.756593562425337,down,3
brent_annual_avg_usd,2014,-56.38777777777778,down,1
brent_annual_avg_usd,2020,25.577777777777776,up,1
